Nombre;Categoria;Vencimiento;Stock;Precio;Código
Pasta dental Ultra Blanco 3 un. 90 g c/u;belleza y cuidado personal;2022-07-16;50;1946;674593210368
Pasta dental triple 3 un. 90 g;belleza y cuidado personal;2022-07-16;50;1923;425791053827
Jabón líquido Dermo Care avena doypack 750 ml;belleza y cuidado personal;2022-07-16;50;516;660899536904
Jabón líquido original 700 ml;belleza y cuidado personal;2022-07-16;50;2069;341424734228
Pasta dental Xtra Whitening 3 un. 90 g;belleza y cuidado personal;2022-07-16;50;1704;791633911830
Jabón líquido cremoso doypack 1.5 L;belleza y cuidado personal;2022-07-16;50;619;379961344023
Jabón barra original 3 un. de 90 g;belleza y cuidado personal;2022-07-16;50;2106;215764221976
Jabón Dermo Care Hygienic 750 ml;belleza y cuidado personal;2022-07-16;50;516;373387632668
Jabón líquido avena doypack 1.5 L;belleza y cuidado personal;2022-07-16;50;619;882191540255
Toallas higiénicas Nosotras Buenas Noches normal 20 un.;belleza y cuidado personal;2022-07-16;50;963;980986241058
Pasta dental Triple Acción menta original 3 un. 75 ml c/u;belleza y cuidado personal;2022-07-16;50;1163;900149682212
Shampoo Hidra Hialurónico 370 ml;belleza y cuidado personal;2022-07-16;50;1233;413899972646
Jabón líquido coco vainilla doypack 1.5 L;belleza y cuidado personal;2022-07-16;50;619;374277947432
Shampoo Manzanilla doypack 750 ml;belleza y cuidado personal;2022-07-16;50;969;251563647016
Shampoo 400 ml + Acondicionador Regeneración Extrema 400 ml;belleza y cuidado personal;2022-07-16;50;3623;142572437545
Pack 3 un. Pasta dental sabor menta 378 g;belleza y cuidado personal;2022-07-16;50;2094;385253965866
Toallas higiénicas Naturella con manzanilla 8 un.;belleza y cuidado personal;2022-07-16;50;333;945730297900
Toallas higiénicas Naturella Cuidado Nocturno XL 8 un.;belleza y cuidado personal;2022-07-16;50;393;534225592366
Pasta dental Max White crystal mint 3 un. 75 ml;belleza y cuidado personal;2022-07-16;50;1499;947093389360
Jabón líquido Dermo Care avena 1 L;belleza y cuidado personal;2022-07-16;50;696;410008166449
Toallas higiénicas Nosotras Normal suave 10 un.;belleza y cuidado personal;2022-07-16;50;333;322593800242
Shampoo Manzana y Papaya 750 ml;belleza y cuidado personal;2022-07-16;50;553;371992338483
Jabon líquido 700 ml;belleza y cuidado personal;2022-07-16;50;699;796691267635
Shampoo Vitaminados Frescura 350 ml;belleza y cuidado personal;2022-07-16;50;996;726733168691
Toallas higiénicas Always Seca Noche 16 un.;belleza y cuidado personal;2022-07-16;50;949;273243111478
Pétalos desmaquilladores;belleza y cuidado personal;2022-07-16;50;7537;182983843897
Desodorante Protection 5 spray 150 ml;belleza y cuidado personal;2022-07-16;50;1516;794175242301
Toallas higiénicas Ladysoft nocturna ultraseca 16 un.;belleza y cuidado personal;2022-07-16;50;1783;133051908158
Shampoo Aloe Hidra Bomb 350 ml;belleza y cuidado personal;2022-07-16;50;996;536047272001
Shampoo Pro-V Hidratación Extrema 300 ml;belleza y cuidado personal;2022-07-16;50;1576;617226387523
Shampoo carbón frasco 750 ml;belleza y cuidado personal;2022-07-16;50;510;933939093572
Toallas higiénicas Nosotras Ultra Invisible malla 10 un.;belleza y cuidado personal;2022-07-16;50;439;520028971081
